Task,AP,AP50,AP75
larch,0.453,0.752,0.499
smoke,0.235,0.538,0.174
car,0.353,0.593,0.358
vehicle,0.385,0.621,0.416
person,0.286,0.576,0.249
coco,0.557,0.730,0.612
