Task,AP,AP50,AP75
larch,0.272,0.537,0.249
smoke,0.370,0.674,0.368
car,0.479,0.783,0.495
vehicle,0.430,0.668,0.466
person,0.367,0.722,0.325
coco,0.562,0.737,0.619
