Task,AP,AP50,AP75
larch,0.303,0.570,0.294
smoke,0.367,0.667,0.367
car,0.484,0.790,0.499
vehicle,0.375,0.608,0.399
person,0.346,0.689,0.298
coco,0.563,0.737,0.619
