Task,AP,AP50,AP75
larch,0.271,0.532,0.250
smoke,0.369,0.673,0.367
car,0.484,0.790,0.499
vehicle,0.430,0.668,0.466
person,0.346,0.689,0.298
coco,0.562,0.737,0.619
