Task,AP,AP50,AP75
larch,0.431,0.729,0.470
smoke,0.368,0.668,0.369
car,0.353,0.593,0.358
vehicle,0.369,0.605,0.392
person,0.286,0.576,0.249
coco,0.557,0.730,0.611
