Task,AP,AP50,AP75
larch,0.553,0.863,0.639
smoke,0.357,0.664,0.345
car,0.480,0.784,0.496
vehicle,0.446,0.687,0.486
person,0.367,0.722,0.323
coco,0.563,0.737,0.619
