Task,AP,AP50,AP75
larch,0.553,0.863,0.639
smoke,0.355,0.658,0.346
car,0.484,0.791,0.499
vehicle,0.445,0.687,0.485
person,0.348,0.693,0.300
coco,0.563,0.737,0.619
