Task,AP,AP50,AP75
larch,0.559,0.870,0.648
smoke,0.350,0.644,0.342
car,0.353,0.593,0.358
vehicle,0.369,0.597,0.396
person,0.285,0.575,0.248
coco,0.556,0.729,0.611
