Task,AP,AP50,AP75
larch,0.486,0.785,0.545
smoke,0.374,0.683,0.370
car,0.480,0.785,0.496
vehicle,0.447,0.687,0.487
person,0.365,0.719,0.321
coco,0.562,0.737,0.619
