Task,AP,AP50,AP75
larch,0.520,0.824,0.594
smoke,0.368,0.668,0.368
car,0.485,0.792,0.500
vehicle,0.373,0.606,0.397
person,0.346,0.691,0.298
coco,0.563,0.737,0.619
