Task,AP,AP50,AP75
larch,0.485,0.784,0.546
smoke,0.374,0.682,0.370
car,0.485,0.792,0.500
vehicle,0.447,0.687,0.487
person,0.347,0.691,0.299
coco,0.562,0.737,0.619
