Task,AP,AP50,AP75
larch,0.545,0.853,0.628
smoke,0.372,0.682,0.367
car,0.481,0.787,0.497
vehicle,0.447,0.688,0.487
person,0.364,0.718,0.320
coco,0.563,0.738,0.619
