Task,AP,AP50,AP75
larch,0.551,0.860,0.637
smoke,0.363,0.662,0.362
car,0.486,0.792,0.500
vehicle,0.372,0.603,0.396
person,0.347,0.693,0.299
coco,0.562,0.736,0.617
