Task,AP,AP50,AP75
larch,0.559,0.870,0.648
smoke,0.366,0.665,0.365
car,0.353,0.593,0.358
vehicle,0.367,0.600,0.391
person,0.286,0.576,0.248
coco,0.558,0.731,0.613
