Task,AP,AP50,AP75
larch,0.564,0.875,0.654
smoke,0.235,0.537,0.174
car,0.353,0.593,0.358
vehicle,0.382,0.615,0.414
person,0.285,0.575,0.248
coco,0.558,0.730,0.612
