Task,AP,AP50,AP75
larch,0.545,0.853,0.628
smoke,0.372,0.681,0.367
car,0.486,0.792,0.501
vehicle,0.447,0.688,0.487
person,0.347,0.692,0.299
coco,0.563,0.738,0.619
