Task,AP,AP50,AP75
larch,0.551,0.860,0.636
smoke,0.370,0.678,0.364
car,0.485,0.792,0.500
vehicle,0.446,0.688,0.486
person,0.347,0.693,0.299
coco,0.563,0.738,0.619
