Task,AP,AP50,AP75
larch,0.557,0.868,0.645
smoke,0.361,0.657,0.358
car,0.353,0.593,0.358
vehicle,0.367,0.598,0.392
person,0.285,0.576,0.248
coco,0.557,0.730,0.611
