Task,AP,AP50,AP75
larch,0.553,0.863,0.639
smoke,0.355,0.651,0.350
car,0.485,0.792,0.500
vehicle,0.372,0.601,0.398
person,0.348,0.693,0.300
coco,0.561,0.735,0.617
