Task,AP,AP50,AP75
larch,0.551,0.861,0.636
smoke,0.370,0.680,0.364
car,0.481,0.786,0.497
vehicle,0.446,0.688,0.485
person,0.366,0.720,0.322
coco,0.563,0.738,0.619
