Task,AP,AP50,AP75
larch,0.559,0.870,0.648
smoke,0.357,0.652,0.351
car,0.353,0.593,0.358
vehicle,0.368,0.598,0.394
person,0.285,0.575,0.248
coco,0.557,0.730,0.611
