Task,AP,AP50,AP75
larch,0.553,0.863,0.639
smoke,0.363,0.671,0.354
car,0.481,0.786,0.496
vehicle,0.448,0.690,0.488
person,0.367,0.722,0.323
coco,0.563,0.738,0.619
