Task,AP,AP50,AP75
larch,0.553,0.863,0.639
smoke,0.362,0.667,0.354
car,0.485,0.792,0.500
vehicle,0.448,0.690,0.488
person,0.348,0.693,0.300
coco,0.563,0.738,0.619
