Task,AP,AP50,AP75
larch,0.564,0.875,0.654
smoke,0.235,0.532,0.173
car,0.353,0.593,0.358
vehicle,0.379,0.608,0.411
person,0.285,0.574,0.248
coco,0.556,0.729,0.611
