Task,AP,AP50,AP75
larch,0.555,0.865,0.642
smoke,0.350,0.646,0.344
car,0.485,0.792,0.500
vehicle,0.375,0.602,0.402
person,0.348,0.694,0.300
coco,0.561,0.735,0.617
