Task,AP,AP50,AP75
larch,0.525,0.831,0.601
smoke,0.372,0.681,0.367
car,0.485,0.792,0.500
vehicle,0.445,0.685,0.485
person,0.347,0.691,0.299
coco,0.563,0.738,0.619
