Task,AP,AP50,AP75
larch,0.562,0.873,0.651
smoke,0.235,0.537,0.174
car,0.353,0.593,0.358
vehicle,0.384,0.618,0.415
person,0.286,0.576,0.249
coco,0.558,0.731,0.613
