Task,AP,AP50,AP75
larch,0.555,0.865,0.641
smoke,0.369,0.669,0.370
car,0.353,0.593,0.358
vehicle,0.367,0.601,0.390
person,0.286,0.576,0.248
coco,0.558,0.732,0.613
