Task,AP,AP50,AP75
larch,0.543,0.851,0.625
smoke,0.367,0.667,0.367
car,0.485,0.792,0.500
vehicle,0.373,0.605,0.396
person,0.347,0.692,0.299
coco,0.562,0.736,0.618
