Task,AP,AP50,AP75
larch,0.525,0.831,0.601
smoke,0.372,0.682,0.367
car,0.481,0.786,0.497
vehicle,0.445,0.686,0.485
person,0.364,0.718,0.320
coco,0.563,0.738,0.619
