Task,AP,AP50,AP75
larch,0.423,0.711,0.459
smoke,0.373,0.680,0.369
car,0.485,0.791,0.500
vehicle,0.444,0.684,0.484
person,0.346,0.690,0.299
coco,0.562,0.737,0.619
