Task,AP,AP50,AP75
larch,0.528,0.836,0.604
smoke,0.369,0.669,0.370
car,0.353,0.593,0.358
vehicle,0.368,0.603,0.391
person,0.286,0.576,0.248
coco,0.558,0.731,0.612
