Task,AP,AP50,AP75
larch,0.470,0.765,0.525
smoke,0.367,0.667,0.367
car,0.485,0.791,0.500
vehicle,0.374,0.607,0.397
person,0.346,0.691,0.298
coco,0.563,0.737,0.619
