Task,AP,AP50,AP75
larch,0.341,0.615,0.347
smoke,0.371,0.676,0.367
car,0.485,0.791,0.500
vehicle,0.438,0.677,0.476
person,0.346,0.690,0.298
coco,0.562,0.737,0.618
