Task,AP,AP50,AP75
larch,0.501,0.806,0.568
smoke,0.367,0.667,0.367
car,0.353,0.593,0.358
vehicle,0.368,0.604,0.391
person,0.286,0.576,0.248
coco,0.557,0.730,0.612
