Task,AP,AP50,AP75
larch,0.342,0.619,0.346
smoke,0.371,0.678,0.368
car,0.479,0.784,0.495
vehicle,0.438,0.677,0.476
person,0.368,0.723,0.325
coco,0.562,0.737,0.619
