Task,AP,AP50,AP75
larch,0.404,0.687,0.434
smoke,0.366,0.666,0.366
car,0.485,0.791,0.500
vehicle,0.375,0.608,0.398
person,0.346,0.690,0.298
coco,0.563,0.737,0.619
