AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,AR_small,AR_medium,AR_large
0.4167804312666925,0.7178219160362805,0.44048245141751907,0.4046153846153846,0.35888613624933213,0.44806276071416357,0.4330303030303031,0.6624242424242424,0.7051515151515151,0.7,0.6048543689320389,0.7508849557522124
0.405267706996886,0.7085168228798742,0.41095292848305226,0.30799999999999994,0.34171337100631793,0.43913498247819904,0.41787878787878796,0.6548484848484849,0.7039393939393939,0.7,0.5922330097087378,0.7548672566371681
0.4060604075797513,0.7139644550864239,0.4104525232120443,0.3083333333333333,0.339314433864383,0.4410857485148433,0.41909090909090907,0.6536363636363636,0.7018181818181818,0.7,0.5951456310679611,0.7504424778761061
0.39370148339653627,0.7035755818020583,0.3915679782164438,0.30975609756097555,0.3318495195034567,0.42656197190582074,0.4130303030303031,0.6460606060606061,0.693939393939394,0.7,0.5844660194174758,0.7438053097345133
0.3880279781691238,0.7079215216321055,0.3815730269991651,0.2152462121212121,0.32848042649405024,0.4210483851876399,0.40515151515151515,0.6442424242424243,0.6884848484848485,0.7,0.5737864077669903,0.74070796460177
0.3765831325362741,0.7043082708813754,0.35575728362119696,0.2208333333333333,0.3164044013867451,0.41017479415100255,0.3912121212121212,0.6387878787878788,0.6842424242424242,0.7,0.5640776699029126,0.7389380530973451
0.3675352542906319,0.6991132881256922,0.3352926161904635,0.22000000000000003,0.31399522137469854,0.3985054179828427,0.38060606060606067,0.6357575757575757,0.6857575757575758,0.6,0.5728155339805826,0.7376106194690265
0.35091450237130534,0.6891821978925045,0.31250526481084395,0.13529411764705881,0.30627780983362735,0.37932537247957304,0.3684848484848485,0.63,0.674848484848485,0.7,0.5524271844660195,0.7305309734513274
0.3364646434061337,0.6785123287560791,0.29754907725259305,0.1260869565217391,0.2931116386412289,0.36653493325171466,0.36090909090909096,0.6218181818181818,0.6745454545454546,0.7,0.5572815533980584,0.7278761061946902
0.3216481723513753,0.6564678312705204,0.27874859553025727,0.13529411764705881,0.2773071166421174,0.3522783903291533,0.33787878787878783,0.6106060606060606,0.6557575757575757,0.7,0.5223300970873785,0.7163716814159293
0.31557252697396077,0.6521870648580055,0.26389210094079474,0.13125,0.27572351315335397,0.34653875393417377,0.3387878787878788,0.6078787878787879,0.6542424242424243,0.6,0.5145631067961165,0.7181415929203541
