Task,AP,AP50,AP75
larch,0.230,0.487,0.193
smoke,0.364,0.668,0.359
car,0.484,0.789,0.498
vehicle,0.422,0.660,0.457
person,0.345,0.689,0.298
coco,0.562,0.737,0.618
