Task,AP,AP50,AP75
larch,0.228,0.488,0.187
smoke,0.364,0.669,0.359
car,0.478,0.782,0.494
vehicle,0.422,0.660,0.457
person,0.368,0.722,0.325
coco,0.562,0.737,0.619
