Task,AP,AP50,AP75
larch,0.360,0.649,0.370
smoke,0.363,0.663,0.362
car,0.353,0.593,0.358
vehicle,0.370,0.606,0.394
person,0.286,0.577,0.249
coco,0.557,0.730,0.611
