Task,AP,AP50,AP75
larch,0.230,0.487,0.192
smoke,0.362,0.662,0.360
car,0.484,0.789,0.498
vehicle,0.376,0.610,0.400
person,0.345,0.689,0.298
coco,0.563,0.737,0.619
