Task,AP,AP50,AP75
larch,0.377,0.666,0.392
smoke,0.235,0.538,0.174
car,0.353,0.593,0.358
vehicle,0.386,0.622,0.416
person,0.286,0.576,0.249
coco,0.557,0.729,0.611
