AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,AR_small,AR_medium,AR_large
0.38172824221825663,0.6254532513825879,0.4062184542492886,0.10555859360419696,0.3901364900592903,0.7508658575178864,0.128045574057844,0.45749342681858024,0.5820333041191936,0.42560975609756097,0.576038781163435,0.8294797687861271
0.40541261587422384,0.6540794452740579,0.43627669683126064,0.12797632982633186,0.41062694074547895,0.7614484254348882,0.13251533742331287,0.4815950920245398,0.6033304119193691,0.4573170731707316,0.5965373961218836,0.8393063583815028
0.42877426820726033,0.680618584259385,0.4610569633684903,0.15283728409493746,0.43353868295019904,0.7716318196942639,0.13943908851884312,0.5048203330411919,0.6263803680981594,0.4902439024390244,0.6191135734072023,0.8502890173410405
0.44997537702741935,0.7035186987758404,0.48938834035891354,0.17975817790417867,0.452013320468317,0.7799826047937589,0.14382120946538124,0.5283085013146362,0.645398773006135,0.5126016260162601,0.639196675900277,0.8601156069364162
0.4704990419283049,0.7220961341119315,0.5157758441118301,0.2046758109797712,0.4733592244244306,0.7843142256379741,0.14802804557405785,0.547239263803681,0.6710780017528484,0.55,0.6657894736842106,0.8653179190751444
0.4866260370565774,0.7359443829378809,0.5332661872777849,0.22433403066694793,0.49085202304867775,0.7872281119802442,0.1504820333041192,0.5685363716038563,0.6875547765118316,0.5760162601626017,0.682409972299169,0.8676300578034682
0.4964653424618354,0.7467074820407459,0.5488625737667503,0.24230180644559726,0.49878075145817746,0.7897373462762025,0.15503943908851886,0.5801928133216476,0.6966695880806311,0.5857723577235772,0.6922437673130194,0.8728323699421965
0.506087322775623,0.7555025133257495,0.5665254373297111,0.25833513871256186,0.5081026726506385,0.7922837695606316,0.15679228746713408,0.591498685363716,0.7078878177037686,0.6065040650406506,0.7020775623268698,0.8763005780346822
0.509788741807441,0.7596268526153498,0.5715579011701623,0.26939723710310476,0.5115808634567178,0.7944871581637989,0.1577563540753725,0.596669588080631,0.717002629272568,0.6154471544715447,0.7120498614958449,0.8820809248554913
0.49611208583158234,0.7445824434973757,0.5465051646958285,0.24095248919417145,0.49844168673093536,0.7889205969723322,0.15425065731814197,0.5783523225241016,0.6985100788781771,0.5926829268292683,0.693213296398892,0.8710982658959537
0.3876669134040348,0.6020105112910195,0.41946414666837184,0.1081248914280973,0.39280601404706283,0.7549171180616847,0.13426818580192812,0.46967572304995614,0.6120946538124452,0.46585365853658534,0.6042936288088643,0.8526011560693642
0.2647478955489644,0.44934363272279154,0.27065574217396426,0.03045385054911015,0.25983757371684985,0.6518307776915692,0.10709903593339173,0.3378615249780894,0.4703768624014023,0.2711382113821138,0.4596952908587258,0.7982658959537572
0.277218401870246,0.4515656326436955,0.3083586338594068,0.10096384854948691,0.269482210121352,0.5731141059471384,0.10464504820333043,0.3872042068361087,0.5694127957931638,0.45528455284552843,0.570775623268698,0.7260115606936416
0.5110824024920365,0.7460287319151042,0.5776283181588512,0.30109485480997017,0.5143899895199519,0.7471965375114186,0.16476774758983348,0.5867659947414549,0.7444347063978966,0.6390243902439025,0.7443213296398892,0.8947976878612716
0.3561154857516283,0.5385633830909852,0.4005494701995806,0.1567311832700034,0.3364677443938474,0.6752294164995675,0.138737949167397,0.46932515337423314,0.6334794040315512,0.4894308943089431,0.6350415512465374,0.8317919075144508
