Task,AP,AP50,AP75
larch,0.557,0.868,0.645
smoke,0.365,0.663,0.364
car,0.353,0.593,0.358
vehicle,0.367,0.598,0.391
person,0.285,0.576,0.248
coco,0.557,0.731,0.612
