Task,AP,AP50,AP75
larch,0.551,0.860,0.636
smoke,0.360,0.658,0.358
car,0.485,0.792,0.500
vehicle,0.372,0.602,0.397
person,0.347,0.693,0.299
coco,0.561,0.735,0.617
