Task,AP,AP50,AP75
larch,0.551,0.860,0.636
smoke,0.372,0.680,0.367
car,0.485,0.792,0.500
vehicle,0.448,0.690,0.488
person,0.347,0.692,0.299
coco,0.563,0.738,0.619
