Task,AP,AP50,AP75
larch,0.549,0.858,0.634
smoke,0.373,0.682,0.367
car,0.481,0.786,0.497
vehicle,0.447,0.689,0.487
person,0.366,0.720,0.322
coco,0.563,0.738,0.619
